Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-04-19 09:00:00,8183.06,8248.36,8150.33,8222.61,616.49,5058695.53,8205.62
2018-04-19 10:00:00,8222.61,8250,8202.15,8226.79,318.57,2620463.25,8225.65
2018-04-19 11:00:00,8226.9,8243.48,8179.64,8196.05,308.73,2533957.66,8207.61
2018-04-19 12:00:00,8195.71,8244.57,8179.16,8232.99,258.55,2124349.43,8216.54
2018-04-19 13:00:00,8229.62,8249.73,8206.92,8222.82,319.14,2625822.98,8227.78
2018-04-19 14:00:00,8222.99,8270,8160,8229.01,828.19,6806622.13,8218.68
2018-04-19 15:00:00,8229.58,8238.4,8208.03,8228.55,261.29,2149425.56,8226.22
2018-04-19 16:00:00,8228.99,8294.04,8223.92,8242.59,616.89,5088243.3,8248.25
2018-04-19 17:00:00,8242.49,8297.99,8220.12,8250.45,435.54,3594242.51,8252.37
2018-04-19 18:00:00,8257.45,8285.23,8245,8277.04,202.33,1671572.63,8261.71
2018-04-19 19:00:00,8277.98,8279,8233.11,8245,319.8,2639853.2,8254.62
2018-04-19 20:00:00,8248.66,8255,8200.01,8235.45,266.03,2189442.76,8230.18
2018-04-19 21:00:00,8242.58,8279.98,8226.8,8267.1,204.89,1691619.54,8256.13
2018-04-19 22:00:00,8276.96,8293.99,8249.69,8256.99,290.23,2401681.29,8275.14
2018-04-19 23:00:00,8255.53,8285.68,8237.19,8271.31,223.58,1847021.31,8261.22
2018-04-20 00:00:00,8273,8370,8270.21,8339.28,942.33,7852847.59,8333.46
2018-04-20 01:00:00,8345.98,8370,8308.37,8350.09,294.59,2457005.97,8340.48
2018-04-20 02:00:00,8350.09,8390,8301.27,8330.57,1233.01,10303211.93,8356.17
2018-04-20 03:00:00,8332.98,8351.09,8321.37,8331.89,296.33,2471068.73,8338.99
2018-04-20 04:00:00,8331.99,8335.08,8254.87,8263.44,715.5,5926996.16,8283.77
2018-04-20 05:00:00,8266.78,8302.24,8216.9,8278.8,349.31,2885314.77,8259.98
2018-04-20 06:00:00,8284.64,8314.75,8266,8306.91,414.78,3439679.32,8292.69
