Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-07-07 21:00:00,6529,6545.29,6520,6530.12,38.14,249008.16,6529.43
2018-07-07 22:00:00,6530.12,6581.47,6520.23,6579.33,246.24,1614069.87,6554.93
2018-07-07 23:00:00,6575.65,6820,6570.22,6759.99,1362.3,9174712.69,6734.73
2018-07-08 00:00:00,6755.46,6783.54,6720.2,6742.02,482.7,3256822.27,6747.03
2018-07-08 01:00:00,6741.99,6753,6723.55,6734.04,161.01,1084076.81,6732.84
2018-07-08 02:00:00,6729.71,6749.99,6715.78,6743,148.83,1002561.6,6736.15
2018-07-08 03:00:00,6738.62,6750.48,6715.01,6718.99,70.87,477064.1,6731.47
2018-07-08 04:00:00,6716.22,6728.8,6711.16,6717.13,69.95,470067.16,6719.71
2018-07-08 05:00:00,6720.25,6744,6716.24,6736.1,224.89,1513935.01,6731.81
2018-07-08 06:00:00,6730,6740.82,6725.99,6730.22,188.46,1268906.47,6732.98
2018-07-08 07:00:00,6732.68,6744.06,6728.65,6737.59,139.38,938907.34,6736.25
2018-07-08 08:00:00,6737.66,6744.46,6720.67,6728.85,98.72,664730.01,6733.72
2018-07-08 09:00:00,6728.99,6740.88,6723.5,6740,127.71,860179.51,6735.65
2018-07-08 10:00:00,6731.36,6740,6715.22,6725.04,175.11,1178306.8,6729.03
2018-07-08 11:00:00,6721.32,6739,6715.88,6738.99,218.3,1468444.05,6726.83
2018-07-08 12:00:00,6731.46,6765.03,6711.19,6728.02,189.92,1279913.42,6739.09
2018-07-08 13:00:00,6728.03,6749.37,6708.97,6740.52,411.36,2771675.55,6737.78
2018-07-08 14:00:00,6740.51,6760.01,6721.57,6749.49,417.74,2815582.71,6739.98
2018-07-08 15:00:00,6755.99,6775.21,6736.52,6748.21,307.93,2080377.15,6755.96
2018-07-08 16:00:00,6739.14,6760.74,6738.18,6744.9,88.4,596611.1,6748.83
2018-07-08 17:00:00,6746.46,6765.24,6737.77,6747.96,121.47,820125.11,6751.55
2018-07-08 18:00:00,6748.31,6761.85,6737.14,6749.41,165.14,1115071.88,6752.2
2018-07-08 19:00:00,6749.42,6765.88,6736.8,6760.98,153.15,1034180.09,6752.74
2018-07-08 20:00:00,6761.02,6769.34,6738.99,6741.08,389.86,2635758.27,6760.86
2018-07-08 21:00:00,6739.02,6751.93,6735.84,6748.01,110.37,744196.08,6742.92
2018-07-08 22:00:00,6751.23,6757.94,6733.43,6750.99,155.3,1047777.45,6746.71
2018-07-08 23:00:00,6745.22,6749.55,6674.6,6706.6,529.26,3548705.53,6705.09
2018-07-09 00:00:00,6706.6,6726.71,6687.61,6720.03,139.43,935761.15,6711.23
2018-07-09 01:00:00,6714.85,6716.98,6691.28,6701.51,135.21,906070.97,6701.11
2018-07-09 02:00:00,6701.28,6712.17,6686.79,6702.9,180.89,1212036.57,6700.26
2018-07-09 03:00:00,6699.61,6722.28,6697.48,6709.14,276.8,1857869.69,6711.84
2018-07-09 04:00:00,6711.44,6726.36,6695.87,6697.99,577.97,3879415.96,6712.13
2018-07-09 05:00:00,6698.77,6703.97,6691.28,6700.15,262.03,1755120.64,6698.23
2018-07-09 06:00:00,6701.96,6730.91,6699.64,6712.49,542.86,3645887.98,6716.07
2018-07-09 07:00:00,6710.57,6742.8,6703.01,6726.09,343.59,2308972.45,6720.19
2018-07-09 08:00:00,6726.09,6737.67,6708.17,6722.57,277.88,1868103.37,6722.78
2018-07-09 09:00:00,6723.79,6726.17,6662.88,6690.03,534.25,3577529.19,6696.38
2018-07-09 10:00:00,6690.02,6708.01,6678.11,6687.02,360.91,2415818.11,6693.74
2018-07-09 11:00:00,6691.01,6752.26,6690.03,6725.15,402.85,2706224.21,6717.78
2018-07-09 12:00:00,6725.15,6727.99,6703.12,6706.08,365.5,2453999.35,6714.06
2018-07-09 13:00:00,6706.9,6739.62,6703.13,6729.46,139.09,934858.09,6721.3
2018-07-09 14:00:00,6728.91,6728.97,6708.45,6726.15,114.49,769413.99,6720.11
2018-07-09 15:00:00,6726.15,6740.81,6711.78,6715.99,211.04,1419436.67,6725.84
2018-07-09 16:00:00,6721.79,6721.79,6657.01,6700.09,286.73,1919333.98,6693.84
2018-07-09 17:00:00,6700.12,6712.56,6666.86,6689.2,314.05,2101567.62,6691.9
2018-07-09 18:00:00,6690.41,6708.16,6682.47,6693.84,105.26,704803.67,6695.71
2018-07-09 19:00:00,6692.72,6716.67,6691.36,6706.79,86.21,577881.12,6703.45
2018-07-09 20:00:00,6707.04,6711.96,6691.28,6691.91,85.69,573880.35,6697.16
2018-07-09 21:00:00,6694.11,6724.78,6690,6724.78,72.86,488424.47,6703.87
2018-07-09 22:00:00,6724.77,6814.72,6674.6,6702.37,853.32,5743577.04,6730.88
2018-07-09 23:00:00,6701.87,6705.63,6620,6666.75,496.31,3302480.36,6654.02
2018-07-10 00:00:00,6666.75,6683.9,6635.59,6669.73,281.73,1875693.72,6657.7
2018-07-10 01:00:00,6662.44,6674.6,6647,6647,174.1,1160103.29,6663.38
2018-07-10 02:00:00,6652.52,6662.82,6621.99,6632.53,231.41,1536936.22,6641.7
2018-07-10 03:00:00,6631.17,6655.48,6625.54,6635.92,120.38,799154.77,6638.52
2018-07-10 04:00:00,6632.81,6651.06,6627.64,6640.57,94,624289.31,6641.32
2018-07-10 05:00:00,6640.12,6653.46,6620,6620.1,133.22,883912.06,6635.05
2018-07-10 06:00:00,6626.7,6628.5,6561.38,6597.85,715.13,4715779.85,6594.28
2018-07-10 07:00:00,6597.9,6616.37,6586.03,6605.66,208.42,1375495.37,6599.61
2018-07-10 08:00:00,6605.66,6622.9,6579.01,6587.97,167.93,1108556.67,6601.3
2018-07-10 09:00:00,6587.97,6597.88,6434.49,6450.34,1180.06,7674377.9,6503.35
2018-07-10 10:00:00,6450.99,6479.98,6425,6475.39,665.34,4292149.79,6451.04
2018-07-10 11:00:00,6472.94,6474.95,6298.95,6365.03,1393.7,8882928.43,6373.63
2018-07-10 12:00:00,6361.74,6380.33,6333.43,6371.8,399.54,2539600.16,6356.25
2018-07-10 13:00:00,6371.8,6400,6354.89,6388.58,442.86,2825502.74,6380.06
2018-07-10 14:00:00,6385.02,6392.94,6341.64,6378.05,420.65,2677103.57,6364.16
2018-07-10 15:00:00,6379.12,6391.52,6363.8,6385,152.02,969397.62,6376.82
2018-07-10 16:00:00,6386.19,6410.18,6333.63,6357.31,331.58,2113111.52,6372.93
2018-07-10 17:00:00,6356,6379.71,6334.89,6364.99,196.25,1248479.3,6361.61
2018-07-10 18:00:00,6364.94,6386.05,6358.64,6373.21,153.57,979101.72,6375.5
2018-07-10 19:00:00,6376.69,6377.72,6356.56,6373.75,237.2,1510212.41,6366.89
2018-07-10 20:00:00,6375.65,6400.99,6370,6388.59,304.55,1944997.16,6386.45
2018-07-10 21:00:00,6390.6,6407.51,6370,6373.9,151.16,965860.84,6389.77
2018-07-10 22:00:00,6370.01,6389.9,6350,6371.57,267.89,1705861.7,6367.8
2018-07-10 23:00:00,6371.57,6373.3,6270.84,6299.46,740.31,4671005.1,6309.5
2018-07-11 00:00:00,6304.45,6400,6288.43,6387.73,556.72,3536902.36,6353.06
2018-07-11 01:00:00,6387.39,6396.99,6354.25,6367.45,202.14,1289045.41,6377.03
2018-07-11 02:00:00,6367.85,6375.2,6351.93,6363.77,194.65,1238376.47,6362.12
2018-07-11 03:00:00,6361.98,6374.55,6333.63,6333.75,224.16,1424822.5,6356.38
2018-07-11 04:00:00,6335.95,6365.28,6319.64,6347.12,214.86,1362978.77,6343.43
